entity1	entity2	left	middle	right	article
LG Display	Apple	"REUTERS/Jo Yong-Hak/File Photo
"	" expects rising panel shipments and sales in the current quarter as well and suggested it has pushed back plans to phase out all of its domestic liquid crystal display (LCD) TV panel production by year end to respond to TV demand.
It also painted a positive outlook for its sales to "	, which would offset the suspension of sales to China's Huawei as a result of U.S. sanctions.	6213d6a26f53f60ce7d7cc6c
Apple	LG Display	"
It also painted a positive outlook for its sales to "	", which would offset the suspension of sales to China's Huawei as a result of U.S. sanctions.
"	 posted a third-quarter operating profit of 164 billion won ($145 million) versus a loss of 437 billion a year earlier.	6213d6a26f53f60ce7d7cc6c
LG Display	Apple	"
"	, which supplies mobile OLED panels for 	's iPhone 12, said an expanded supply of mobile OLED panels to an identified strategic customer in North America, helped lift its earnings and it is using its full production capacity to respond to demand from the customer.	6213d6a26f53f60ce7d7cc6c
Apple	Wistron	 	 partner 	 seeks to expand India smartphone parts plant -govt official Smartphone component maker Wistron, which counts Apple among its customers, has applied for permission to expand its plant in the Indian city of Bengaluru, a high-ranking regional government official said on Monday.	6213d6a36f53f60ce7d7cc6e
Wistron	Apple	 Apple partner Wistron seeks to expand India smartphone parts plant -govt official Smartphone component maker 	, which counts 	 among its customers, has applied for permission to expand its plant in the Indian city of Bengaluru, a high-ranking regional government official said on Monday.	6213d6a36f53f60ce7d7cc6e
Apple	TDK	"
Another "	 supplier 	, which is scheduled to report its quarterly earnings on Wednesday, finished 0.6 percent higher.	6213d6a36f53f60ce7d7cc73
TDK	Apple	"
Another Apple supplier "	", which is scheduled to report its quarterly earnings on Wednesday, finished 0.6 percent higher.
“Excessive worries about "	's performance in the Oct-Dec period receded, but iPhone's output has been falling so there is still uncertainty over the April-June quarter and beyond,” said Norihiro Fujito, chief investment strategist at Mitsubishi UFJ Morgan Stanley Securities.	6213d6a36f53f60ce7d7cc73
Sharp	Apple	LOOKING SHARP 	 outperformed, up 4.4 percent after Hon Hai Precision Industry, the main supplier to 	 , said it is in talks with Sharp about increasing its stake as it bets on the Japanese firm's technology to give it a boost in the cut-throat display panel business.	6213d6a36f53f60ce7d7cc74
Apple	Sharp	LOOKING SHARP Sharp outperformed, up 4.4 percent after Hon Hai Precision Industry, the main supplier to 	 , said it is in talks with 	 about increasing its stake as it bets on the Japanese firm's technology to give it a boost in the cut-throat display panel business.	6213d6a36f53f60ce7d7cc74
Qualcomm	Apple	(Reuters) - 	 (QCOM.O) on Tuesday responded to comments 	 (AAPL.O) Chief Executive Tim Cook made in an interview, in which he said there had been no recent settlement talks between the iPhone maker and chip supplier in their global legal battle, calling Cook's remarks “misleading.”	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	(Reuters) - Qualcomm (QCOM.O) on Tuesday responded to comments 	" (AAPL.O) Chief Executive Tim Cook made in an interview, in which he said there had been no recent settlement talks between the iPhone maker and chip supplier in their global legal battle, calling Cook's remarks “misleading.”
People walk by a video display promoting 5G connectivity at the "	 booth during the 2019 CES in Las Vegas, Nevada, U.S. January 8, 2019.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
People walk by a video display promoting 5G connectivity at the "	" booth during the 2019 CES in Las Vegas, Nevada, U.S. January 8, 2019. REUTERS/Steve Marcus
The two companies are disputing comments their CEOs have made over settlement talks: "	's chief on Tuesday said any talks ended in September 2018.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	The two companies are disputing comments their CEOs have made over settlement talks: 	's chief on Tuesday said any talks ended in September 2018. In November, 	's Chief Executive Steve Mollenkopf made comments about the supplier's efforts to resolve the dispute.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
Qualcomm on Tuesday said Cook miscast Mollenkopf's remarks, which did not mention a settlement and which "	" maintains are accurate.
The war of words is unlikely to play a major role in the outcome of the legal fight between the two firms. But it signals the high stakes and deeply entrenched positions of each side, with "	 arguing in court that Qualcomm charges an unfair “tax” on its phones while Qualcomm fights to protect a patent licensing model it argues has helped bring connectivity to billions of new users through wireless networks.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	But it signals the high stakes and deeply entrenched positions of each side, with 	 arguing in court that 	 charges an unfair “tax” on its phones while Qualcomm fights to protect a patent licensing model it argues has helped bring connectivity to billions of new users through wireless networks.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	But it signals the high stakes and deeply entrenched positions of each side, with Apple arguing in court that Qualcomm charges an unfair “tax” on its phones while 	" fights to protect a patent licensing model it argues has helped bring connectivity to billions of new users through wireless networks.
In a television interview on CNBC earlier on Tuesday, Cook responded to a question from host Jim Cramer about whether "	 would settle with Qualcomm after Qualcomm had announced legal victories against Apple in patent cases in China and Germany.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	"
In a television interview on CNBC earlier on Tuesday, Cook responded to a question from host Jim Cramer about whether "	 would settle with 	 after Qualcomm had announced legal victories against Apple in patent cases in China and Germany.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
In a television interview on CNBC earlier on Tuesday, Cook responded to a question from host Jim Cramer about whether Apple would settle with Qualcomm after "	 had announced legal victories against 	 in patent cases in China and Germany.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
In a statement, a "	" spokesperson said the company stand's by Mollenkopf's remarks.
“We have been consistent for the last 18 months in making clear that we have, at various times, been in discussions with "	 about a possible resolution to our licensing dispute,” a Qualcomm spokesperson said in a statement.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	"
“We have been consistent for the last 18 months in making clear that we have, at various times, been in discussions with "	 about a possible resolution to our licensing dispute,” a 	 spokesperson said in a statement.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
“We have been consistent for the last 18 months in making clear that we have, at various times, been in discussions with Apple about a possible resolution to our licensing dispute,” a "	" spokesperson said in a statement. “We have also stated clearly on several occasions that we believe it will be resolved, one way or the other, in the near future, either through a settlement or court decisions.”
The primary case in "	 and Qualcomm's legal battle goes to trial in April.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	"
The primary case in "	 and 	's legal battle goes to trial in April.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple	"
The primary case in Apple and "	"'s legal battle goes to trial in April.
"	 has accused Qualcomm of engaging in illegal patent licensing practices to preserve a dominant market position in so-called modem chips, which help mobile phones connect to wireless data networks.	6213d6a46f53f60ce7d7cc7c
Apple	Qualcomm	"
"	 has accused 	 of engaging in illegal patent licensing practices to preserve a dominant market position in so-called modem chips, which help mobile phones connect to wireless data networks.	6213d6a46f53f60ce7d7cc7c
Qualcomm	Apple		 has argued that its practices followed decades-long tech industry norms and that 	 has not fairly compensated it for its intellectual property.	6213d6a46f53f60ce7d7cc7c
Toshiba	Apple	"
"	's board agreed last week to sell the unit, the world's second biggest producer of NAND chips, to the Bain group. However, the signing was delayed because consortium member 	 demanded new terms on chip supply in return for funding, sources familiar with the matter have said.	6213d6a56f53f60ce7d7cc7e
Apple	Pegatron	"
“From our investigations we found that the labor rights violations at Foxconn also exist in virtually all other "	" supplier factories, and in many cases, are actually significantly more dire than at Foxconn,” China Labor Watch said in a 133-page report released on Thursday.
A four-month investigation through April showed workers work up to 180 hours of overtime a month during peak periods, exceeding the legal limit of 36 hours per month, the group said, citing Riteng, a unit of Taiwan's "	, as an example.	6213d6a56f53f60ce7d7cc80
Pegatron	Apple	"
A four-month investigation through April showed workers work up to 180 hours of overtime a month during peak periods, exceeding the legal limit of 36 hours per month, the group said, citing Riteng, a unit of Taiwan's "	", as an example.
Some factories also omit medical insurance as required by the law while workers are exposed to hazardous conditions, according to the report.
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
"	6213d6a56f53f60ce7d7cc80
Apple	Pegatron	"
People crowd outside a factory owned by Wintek, the Taiwanese company making touch screens on contract for "	", in Suzhou, Jiangsu province in this February 18, 2011 file photo. REUTERS/Aly Song/Files
The "	 unit was not immediately available for comment.	6213d6a56f53f60ce7d7cc80
Apple	Wintek	"
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
The group also spoke with workers at factories run by units of Quanta Computer, "	" and U.S.-listed Jabil Circuit Inc.
"	6213d6a56f53f60ce7d7cc80
Wintek	Apple	The group also spoke with workers at factories run by units of Quanta Computer, 	" and U.S.-listed Jabil Circuit Inc.
The companies couldn't be immediately reached for comment.
“As part of our ongoing supplier responsibility program, our team has conducted thorough audits at every facility in China Labor Watch's report,” Kristin Huguet, an "	 spokeswoman based in Cupertino, California, said in an e-mail.	6213d6a56f53f60ce7d7cc80
Apple	Wintek	The report singled out Riteng for dismal work conditions, saying workers work almost 12 hours a day, longer than 10 hours a day at Foxconn, 	"'s main supplier.
Half of Riteng's workers described safety conditions as “bad,” more than Foxconn's 2 percent, according to the report.
The average hourly wage at Riteng is 8.2 yuan ($1.29), well below the average rate 10.2 yuan at Foxconn.
People crowd outside a factory owned by "	, the Taiwanese company making touch screens on contract for Apple, in Suzhou, Jiangsu province in this February 18, 2011 file photo.	6213d6a56f53f60ce7d7cc80
Wintek	Apple	"
People crowd outside a factory owned by "	, the Taiwanese company making touch screens on contract for 	, in Suzhou, Jiangsu province in this February 18, 2011 file photo.	6213d6a56f53f60ce7d7cc80
Apple	Quanta Computer	"
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
The group also spoke with workers at factories run by units of "	", Wintek and U.S.-listed Jabil Circuit Inc.
"	6213d6a56f53f60ce7d7cc80
Quanta Computer	Apple	The group also spoke with workers at factories run by units of 	", Wintek and U.S.-listed Jabil Circuit Inc.
The companies couldn't be immediately reached for comment.
“As part of our ongoing supplier responsibility program, our team has conducted thorough audits at every facility in China Labor Watch's report,” Kristin Huguet, an "	 spokeswoman based in Cupertino, California, said in an e-mail.	6213d6a56f53f60ce7d7cc80
Apple	Pegatron	"
“From our investigations we found that the labour rights violations at Foxconn also exist in virtually all other "	" supplier factories, and in many cases, are actually significantly more dire than at Foxconn,” China Labor Watch said in a 133-page report released on Thursday.
A four-month investigation through April showed workers work up to 180 hours of overtime a month during peak periods, exceeding the legal limit of 36 hours per month, the group said, citing Riteng, a unit of Taiwan's "	, as an example.	6213d6a56f53f60ce7d7cc81
Pegatron	Apple	"
A four-month investigation through April showed workers work up to 180 hours of overtime a month during peak periods, exceeding the legal limit of 36 hours per month, the group said, citing Riteng, a unit of Taiwan's "	", as an example.
Some factories also omit medical insurance as required by the law while workers are exposed to hazardous conditions, according to the report.
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
"	6213d6a56f53f60ce7d7cc81
Apple	Wintek	"
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
The group also spoke with workers at factories run by units of Quanta Computer, "	" and U.S.-listed Jabil Circuit Inc.
"	6213d6a56f53f60ce7d7cc81
Wintek	Apple	The group also spoke with workers at factories run by units of Quanta Computer, 	" and U.S.-listed Jabil Circuit Inc.
The companies couldn't be immediately reached for comment.
“As part of our ongoing supplier responsibility programme, our team has conducted thorough audits at every facility in China Labor Watch's report,” Kristin Huguet, an "	 spokeswoman based in Cupertino, California, said in an e-mail.	6213d6a56f53f60ce7d7cc81
Apple	Quanta Computer	"
China Labor Watch interviewed 620 workers at 10 factories run by "	" suppliers, including Toyo Precision Appliance and BYD Electronic (International) Co.
The group also spoke with workers at factories run by units of "	", Wintek and U.S.-listed Jabil Circuit Inc.
"	6213d6a56f53f60ce7d7cc81
Quanta Computer	Apple	The group also spoke with workers at factories run by units of 	", Wintek and U.S.-listed Jabil Circuit Inc.
The companies couldn't be immediately reached for comment.
“As part of our ongoing supplier responsibility programme, our team has conducted thorough audits at every facility in China Labor Watch's report,” Kristin Huguet, an "	 spokeswoman based in Cupertino, California, said in an e-mail.	6213d6a56f53f60ce7d7cc81
Apple	Microsoft	The S&P growth index, which houses mega-cap names 	, Amazon, Facebook Inc and 	, has jumped nearly 11.9% this quarter, outperforming its value peer and narrowing the gap for the year-to-date performance.	6213d6a56f53f60ce7d7cc82
Apple	Cirrus Logic	** Apple shares fell on Monday amid sharp declines in shares of its suppliers such as Lumentum Holdings Inc , and chipmakers that sell to 	 such as 	 .	6213d6a66f53f60ce7d7cc8a
Cirrus Logic	Apple	** Apple shares fell on Monday amid sharp declines in shares of its suppliers such as Lumentum Holdings Inc , and chipmakers that sell to Apple such as 	 . ** South Korean companies that sell to 	, such as Samsung Electronics and SK Hynix dropped 2.7 percent and 4.8 percent, respectively, while LG Innotek plunged 8.9 percent.	6213d6a66f53f60ce7d7cc8a
SK Hynix	Apple	"
"	, a key 	 supplier, joins other local peers scurrying to find alternative suppliers to guard against a supply shortage of high-tech materials restricted by Japan.	6213d6a66f53f60ce7d7cc8b
Toshiba	Apple	"
Seagate also said it expects to enter into a long-term supply agreement with the unit, "	"
Besides Seagate, Bain's consortium includes "	, South Korean chipmaker SK Hynix, Dell Inc [DI.UL] and Kingston Technology.	6213d6a76f53f60ce7d7cc8c
Toshiba	Apple	"
Seagate also said it expects to enter into a long-term supply agreement with the unit, "	"
Besides Seagate, Bain's consortium includes "	 , South Korean chipmaker SK Hynix, Dell Inc and Kingston Technology.	6213d6a76f53f60ce7d7cc8d
Apple	Alphabet	"
Aeva, founded by former "	" engineers Soroush Salehian and Mina Rezk, makes a lidar sensor that helps cars gain a three-dimensional view of the road and detect how quickly distant objects are moving. The company said Tuesday it hired Tim Willis as vice president of global supply chain, manufacturing and strategy.
Willis most recently oversaw manufacturing and supply chain operations at Waymo, "	's autonomous driving unit.	6213d6a76f53f60ce7d7cc8e
Alphabet	Apple	"
Willis most recently oversaw manufacturing and supply chain operations at Waymo, "	's autonomous driving unit. Willis also worked at 	 and Motorola after a starting his career at Ford.	6213d6a76f53f60ce7d7cc8e
Apple	Ford	Willis also worked at 	 and Motorola after a starting his career at 	.	6213d6a76f53f60ce7d7cc8e
Ford	Apple	Willis also worked at Apple and Motorola after a starting his career at 	".
Willis said part of his job will be to develop supplier relationships well before Aeva launches production, drawing on his experience at "	 securing factory equipment.	6213d6a76f53f60ce7d7cc8e
Sharp	Apple	"
"	, which supplies panels for 	's iPhone, said increased demand from major customers led it to earn an operating profit of 2.1 billion yen (12 million pounds) in its LCD panel business after posting a 9.5 billion yen loss on the unit in the same quarter last year.	6213d6a76f53f60ce7d7cc90
Apple	Sharp	"
Sharp, which supplies panels for "	"'s iPhone, said increased demand from major customers led it to earn an operating profit of 2.1 billion yen (12 million pounds) in its LCD panel business after posting a 9.5 billion yen loss on the unit in the same quarter last year.
A big part of that recovery was due to demand from rising stars in China's smartphone market. "	's president, Kozo Takahashi, said the company expected revenue from Chinese handset makers to swell to 100 billion yen in the first half of the business year to Sept. 30.	6213d6a76f53f60ce7d7cc90
Huawei	Apple	"
Meanwhile, Sony cut the outlook for its sensor business by 38% to 81 billion yen, after tighter U.S. curbs on "	" [HWT.UL] banned global suppliers from selling it chips - such as Sony's - made using U.S. technology without a special licence.
The Chinese smartphone maker was Sony's second-largest image sensor customer after "	, accounting for about 20% of its $10 billion in sensor revenue, according to analyst estimates.	6213d6a86f53f60ce7d7cc95
Toshiba	Apple	TOKYO (Reuters) - Japan's 	" said on Thursday it had signed an $18 billion deal to sell its chip unit to a consortium led by Bain Capital LP, overcoming a key - albeit not its last - hurdle as it scrambles for funds to stave off a potential delisting.
But in an inauspicious sign, a Tokyo news conference on the deal was canceled, with Bain saying the consortium could not form a consensus on whether to brief media - underscoring fears that the 8-member group contained too many competing interests for it to work well.
The sale of the unit - the world's second biggest producer of NAND chips - was agreed last week after a tortuous auction process but the signing was delayed because consortium member "	 demanded new terms on chip supply, sources familiar with the matter have said.	6213d6aa6f53f60ce7d7cc99
Apple	Toshiba	"
The sale of the unit - the world's second biggest producer of NAND chips - was agreed last week after a tortuous auction process but the signing was delayed because consortium member "	" demanded new terms on chip supply, sources familiar with the matter have said.
“This consortium has so many members that it is going to be hard to come to consensus and agree on who's going to take the initiative,” said Hideki Yasuda at Ace Research Institute, but he added that if the sale was successfully completed it would reduce a lot of risks for "	.	6213d6aa6f53f60ce7d7cc99
Toshiba	Apple	"
The acrimonious squabbling over "	"'s chip unit also highlights the critical importance of NAND memory chips, as data storage is key to most next-generation technologies from artificial intelligence and autonomous driving to the Internet of Things.
In addition to "	, Bain's consortium includes South Korean chipmaker SK Hynix, as well as Dell Inc [DI.UL], Seagate Technology Plc and Kingston Technology - all of which want access to NAND technology.	6213d6aa6f53f60ce7d7cc99
Apple	Toshiba	"
In addition to "	", Bain's consortium includes South Korean chipmaker SK Hynix, as well as Dell Inc [DI.UL], Seagate Technology Plc and Kingston Technology - all of which want access to NAND technology.
Seagate said in statement that with its participation, it expects to enter into a long-term supply agreement that ensures sufficient raw NAND for its solid state drives or SSDs, which are faster and lighter than hard disk drives.
Under the deal, "	 will have 40.2 percent of voting rights in the chip unit and Hoya will own 9.9 percent.	6213d6aa6f53f60ce7d7cc99
Toshiba	Apple	"
"	's board agreed last week to sell the unit, the world's second biggest producer of NAND chips, to the Bain group. However, the signing was delayed because consortium member 	 demanded new terms on chip supply in return for funding, sources familiar with the matter have said.	6213d6aa6f53f60ce7d7cc9a
Apple	Toshiba	The sale of some or all the unit, which employs 3,000 people, would represent another step in making Sony asset-light, bringing it closer to 	".'s strategy of keeping design and product development in-house and relying on third parties for fabrication.
For the past several months Sony has been dumping production capacity. In December it agreed to sell its nearly 50 percent share in a joint liquid crystal display venture with Samsung Electronics to the Korean company, exiting a fabrication partnership that had forced it to buy panels at high cost amid a LCD supply glut.
Sony last year also agreed to merge its production of small LCDs with that of "	 and Hitachi Ltd in company Japan Display, which is two-thirds owned by the taxpayer-funded Innovation Network Corp of Japan.	6213d6ac6f53f60ce7d7cca4
Taiwan	Apple	"y/y vs +45.1% in Reuters poll
* Orders from China +48.6% y/y; U.S. +50.2% y/y
* Ministry sees March orders rising between 35.4% and 39.1% y/y
* Says outlook ‘optimistic' thanks to strong tech demand
TAIPEI, March 22 (Reuters) - "	"'s February export orders rose more than expected for the 12th month in a row to a record high, boosted by sustained demand for telecommuting products during strict lockdowns worldwide to contain the COVID-19 pandemic.
New smartphone launches by brands such as "	 also fuelled demand.	6213d6ac6f53f60ce7d7cca5
Apple	Taiwan	"
New smartphone launches by brands such as "	" also fuelled demand.
"	's export orders, a bellwether of global technology demand, jumped 48.5% from a year earlier to $42.59 billion in February, the highest by value for the month, data from the Ministry of Economic Affairs showed on Monday.	6213d6ac6f53f60ce7d7cca5
Taiwan	Apple	"
Taiwan companies such as Foxconn and "	 (TSMC) are key suppliers to 	, which launched its next-generation iPhone 12 in September.	6213d6ac6f53f60ce7d7cca5
Sharp	Apple	"
"	, which supplies panels for 	's iPhone, said increased demand from major customers led it to earn an operating profit of 2.1 billion yen ($20.4 million) in its LCD panel business after posting a 9.5 billion yen loss on the unit in the same quarter last year.	6213d6ac6f53f60ce7d7ccaa
Apple	Sharp	"
Sharp, which supplies panels for "	"'s iPhone, said increased demand from major customers led it to earn an operating profit of 2.1 billion yen ($20.4 million) in its LCD panel business after posting a 9.5 billion yen loss on the unit in the same quarter last year.
A big part of that recovery was due to demand from rising stars in China's smartphone market. "	's president, Kozo Takahashi, said the company expected revenue from Chinese handset makers to swell to 100 billion yen in the first half of the business year to Sept. 30.	6213d6ac6f53f60ce7d7ccaa
Boeing	Apple	"
"	" (BA.N) was the biggest drag on the Dow, tumbling 13.4% following the Federal's (FAA) rejection of the planemaker's proposal regarding wiring systems in place on its grounded 737 MAX aircraft.
"	 (AAPL.O) shares fell 7.9% after data showed the company sold fewer than 500,000 smartphones in China in February amid the coronavirus crisis.	6213d6b26f53f60ce7d7ccc7
Boeing	Apple	"
"	" (BA.N) was the biggest drag on the Dow, tumbling 13.4% following the Federal's (FAA) rejection of the planemaker's proposal regarding wiring systems in place on its grounded 737 MAX aircraft.
"	 (AAPL.O) shares fell 7.9% after data showed the company sold fewer than 500,000 smartphones in China in February amid the coronavirus crisis.	6213d6b26f53f60ce7d7ccc7
Nissan	Toyota		 was the first automaker to locate a major assembly plant in the state, but since Mississippi won the contest for the factory in 2000, it has secured significant investments by other automotive giants like 	 (7203.T) and Continental AG (CONG.DE).	6213d6b56f53f60ce7d7ccd2
Toyota	Nissan	Nissan was the first automaker to locate a major assembly plant in the state, but since Mississippi won the contest for the factory in 2000, it has secured significant investments by other automotive giants like 	" (7203.T) and Continental AG (CONG.DE).
The number of auto workers in the state rose to 18,000 in 2016, from 11,000 in 2010. Government statistics show the average Mississippi auto worker earned $50,510 in 2016, 34 percent above the state average.
A vote for union representation at "	"'s Canton plant ""could affect that plant's ability to compete and Mississippi's ability to compete in the realm of economic development,"" Waller said."	6213d6b56f53f60ce7d7ccd2
General	Ford	He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at 	) or 	).	6213d6b56f53f60ce7d7ccd2
General	Ford	He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at 	) or 	).	6213d6b56f53f60ce7d7ccd2
Nissan	General	"
""Black people are doing much better here since "	" came,"" said Tony Jacobson, 52, who is black. He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at "	) or Ford (F.N).	6213d6b56f53f60ce7d7ccd2
Nissan	Toyota		 was the first automaker to locate a major assembly plant in the state, but since Mississippi won the contest for the factory in 2000, it has secured significant investments by other automotive giants like 	 and Continental AG.	6213d6b56f53f60ce7d7ccd3
Toyota	Nissan	Nissan was the first automaker to locate a major assembly plant in the state, but since Mississippi won the contest for the factory in 2000, it has secured significant investments by other automotive giants like 	" and Continental AG.
The number of auto workers in the state rose to 18,000 in 2016, from 11,000 in 2010. Government statistics show the average Mississippi auto worker earned $50,510 in 2016, 34 percent above the state average.
A vote for union representation at "	"'s Canton plant ""could affect that plant's ability to compete and Mississippi's ability to compete in the realm of economic development,"" Waller said."	6213d6b56f53f60ce7d7ccd3
General	Ford	He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at 	 or 	.	6213d6b56f53f60ce7d7ccd3
General	Ford	He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at 	 or 	.	6213d6b56f53f60ce7d7ccd3
Nissan	General	"
""Black people are doing much better here since "	" came,"" said Tony Jacobson, 52, who is black. He has worked at the plant since it opened in 2003 and makes $28 per hour - comparable to the top rate for unionized workers at "	 or Ford.	6213d6b56f53f60ce7d7ccd3
Toyota	Nissan		" said there was no damage at its plants, but it was checking the status of its suppliers. It will decide on Sunday whether to resume production.
"	 stopped production at its Fukuoka plant which produces vehicles including the Serena, Teana, Murano and Note.	6213d6b66f53f60ce7d7ccda
Renesas	Mitsubishi	"
"	" closed its Kumamoto plant, which produces microcontroller chips for automobiles. It will not resume production until it completes its damage assessment.
"	 halted production at its two Kumamoto plants which produce liquid crystal display modules used in display panels for car navigation systems and semiconductor chips used in power inverters for various electrical products, including air conditioners and hybrid or electric vehicles.	6213d6b66f53f60ce7d7ccda
Honda	Toyota	"
"	" halted production at its Kumamoto motorcycle plant, which has annual production capacity of 250,000. It said it will keep production on hold through Monday.
"	 halted production at three plants producing vehicles, engines and trans axles in Fukuoka.	6213d6b66f53f60ce7d7ccda
Toyota	Nissan	"
Japanese automakers "	 (7203.T), 	 (7201.T) and Honda (7267.T) are also restarting in Mexico.	6213d6b66f53f60ce7d7ccdb
Ford	General	The third, 	", said on Tuesday it was working closely with the government to comply with health protocols.
“We're hoping we can get its approval to operate,” the company said in a statement.
BMW said it would restart operations at its plant in the central Mexican state of San Luis Potosi on May 27.
"	 (GM.N) began opening production lines at its Mexican plants in Ramos Arizpe in the northern state of Coahuila and in the central city of Silao on Thursday.	6213d6b66f53f60ce7d7ccdb
General	Honda	"
"	" (GM.N) began opening production lines at its Mexican plants in Ramos Arizpe in the northern state of Coahuila and in the central city of Silao on Thursday.
Japanese automakers Toyota (7203.T), Nissan (7201.T) and "	 (7267.T) are also restarting in Mexico.	6213d6b66f53f60ce7d7ccdb
Ford	General	The third, 	", said on Tuesday it was working closely with the government to comply with health protocols.
“We're hoping we can get its approval to operate,” the company said in a statement.
BMW said it would restart operations at its plant in the central Mexican state of San Luis Potosi on May 27.
"	 (GM.N) began opening production lines at its Mexican plants in Ramos Arizpe in the northern state of Coahuila and in the central city of Silao on Thursday.	6213d6b66f53f60ce7d7ccdb
General	Nissan	"
"	" (GM.N) began opening production lines at its Mexican plants in Ramos Arizpe in the northern state of Coahuila and in the central city of Silao on Thursday.
Japanese automakers Toyota (7203.T), "	 (7201.T) and Honda (7267.T) are also restarting in Mexico.	6213d6b66f53f60ce7d7ccdb
Toyota	Honda	"
Japanese automakers "	 (7203.T), Nissan (7201.T) and 	 (7267.T) are also restarting in Mexico.	6213d6b66f53f60ce7d7ccdb
General	Toyota	"
"	" (GM.N) began opening production lines at its Mexican plants in Ramos Arizpe in the northern state of Coahuila and in the central city of Silao on Thursday.
Japanese automakers "	 (7203.T), Nissan (7201.T) and Honda (7267.T) are also restarting in Mexico.	6213d6b66f53f60ce7d7ccdb
Mitsubishi	Nissan	TOKYO (Reuters) - 	" (7211.T) is unlikely to issue an earnings forecast for the current financial year when it announces annual results this week, due to uncertainty about the financial impact of its misleading fuel economy data, a person close to the company told Reuters on Sunday.
The Japanese automaker is under investigation by the transport ministry after saying last week that it overstated the fuel economy of four of its minivehicle models made for the local market, including ones produced for "	 (7201.T).	6213d6b66f53f60ce7d7ccdc
Nissan	Mitsubishi	"
The Japanese automaker is under investigation by the transport ministry after saying last week that it overstated the fuel economy of four of its minivehicle models made for the local market, including ones produced for "	" (7201.T).
"	 is scheduled to announce its financial results for the year ended March on Wednesday.	6213d6b66f53f60ce7d7ccdc
Mitsubishi	Nissan	TOKYO (Reuters) - 	" (7211.T) is unlikely to issue an earnings forecast for the current financial year when it announces annual results this week, due to uncertainty about the financial impact of its misleading fuel economy data, a person close to the company told Reuters on Sunday.
The Japanese automaker is under investigation by the transport ministry after saying last week that it overstated the fuel economy of four of its minivehicle models made for the local market, including ones produced for "	 (7201.T).	6213d6b66f53f60ce7d7ccdc
Nissan	Mitsubishi	"
The Japanese automaker is under investigation by the transport ministry after saying last week that it overstated the fuel economy of four of its minivehicle models made for the local market, including ones produced for "	" (7201.T).
"	 is scheduled to announce its financial results for the year ended March on Wednesday.	6213d6b66f53f60ce7d7ccdc
Nissan	Toyota	For a graphic, click tmsnrt.rs/2EJOFSc 	 and rival Japanese automakers Honda and 	 have been the best at flexible manufacturing, auto experts and industry executives said.	6213d6b76f53f60ce7d7cce8
Toyota	Ford	For a graphic, click tmsnrt.rs/2EJOFSc Nissan and rival Japanese automakers Honda and 	 have been the best at flexible manufacturing, auto experts and industry executives said. Historically, Japanese automakers focused on interchangeable processes and platforms out of necessity - because one model for the Japanese market could not sustain an entire factory. U.S. and European automakers have worked to catch up. For example, 	's Kentucky truck plant makes some of its best-selling pickup trucks and large SUVs on the same platform, and is expected to hit full capacity this year.	6213d6b76f53f60ce7d7cce8
Ford	General	For example, 	's Kentucky truck plant makes some of its best-selling pickup trucks and large SUVs on the same platform, and is expected to hit full capacity this year. For a graphic, click tmsnrt.rs/2yxAj1O But 	 illustrates some of the pitfalls of relying on single models.	6213d6b76f53f60ce7d7cce8
